18,204,0
2,192,0
0,172,0
-29,165,0
-18,180,0
-35,190,0
-28,207,0
-17,214,0
11,224,0
17,243,0
-16,243,0
-72,216,0
-47,182,0
-48,166,0
-63,151,0
-82,149,0
-90,169,0
-65,191,0
-46,215,0
-45,238,0
-26,228,0
-4,228,0
-10,192,0
0,208,0
-46,202,0
-71,202,0
-76,191,0
-71,164,0
-63,174,0
-77,175,0
-46,154,0
-18,151,0
-45,138,0
-62,138,0
-95,93,0
26,131,1
9,117,1
22,111,1
40,118,1
46,139,1
48,152,1
30,146,1
0,99,1
11,98,1
34,94,1
48,97,1
73,129,1
57,125,1
79,153,1
63,141,1
61,186,1
65,172,1
76,165,1
91,173,1
85,190,1
93,203,1
110,208,1
105,186,1
120,171,1
112,154,1
97,137,1
87,114,1
70,93,1
72,110,1
55,72,1
24,73,1
-5,70,1
17,60,1
35,58,1
56,53,1
-13,40,1
0,48,1
9,29,1
27,37,1
129,196,1
32,172,1
-7,137,0
42,185,1
52,202,1
-9,119,1
118,89,1
93,57,1
161,121,1
157,173,1
192,201,1
231,165,1
181,159,1
34,257,0
-5,269,0
-68,271,0
-96,236,0
-108,198,0
-190,182,0
-169,125,0
-108,127,0
-117,153,0
-149,200,0
-125,256,0
-123,234,0
-130,208,0
-146,131,0
-124,121,0
-139,95,0
-179,92,0
-84,115,0
70,266,0
29,279,0
13,282,0
-22,286,0
-40,263,0
-70,252,0
-89,224,0
-113,215,0
-142,168,0
-124,174,0
-109,174,0
-156,176,0
-170,149,0
117,127,1
147,151,1
135,116,1
147,102,1
146,77,1
139,36,1
89,80,1
78,33,1
124,68,1
111,41,1
170,59,1
188,99,1
188,115,1
200,138,1
205,164,1
175,190,1
166,206,1
135,235,1
159,233,1
200,234,1
215,210,1
220,182,1
191,182,1
