-167,-60,0
-155,-84,0
-119,-119,0
-137,-100,0
-99,-133,0
-60,-141,0
-34,-131,0
-2,-107,0
16,-72,0
36,-17,0
51,17,0
65,48,0
87,98,0
102,151,0
122,192,0
144,227,0
-192,-25,1
-203,23,1
-220,62,1
-222,95,1
-237,133,1
-253,178,1
-280,220,1
-293,252,1
-136,-7,0
-115,11,0
-55,47,0
-46,25,0
-86,-9,0
-117,-35,0
-91,-78,0
-18,-24,0
-62,-75,0
19,-12,0
-24,67,0
51,86,0
-202,-71,1
-216,-99,1
-238,-107,1
-241,-134,1
-233,-148,1
-274,-119,1
-276,-36,1
-243,30,1
-285,84,1
-281,26,1
-254,83,1
-254,111,1
-257,158,1
-188,204,1
-207,-155,1
-247,-165,1
-176,-158,1
-171,-179,1
-143,-173,1
-168,139,0
-139,112,0
-127,80,0
-79,63,0
-75,17,0
-35,-92,0
